t,d,Az_tx,El_tx,Az_rx,El_rx,Lfs,Gt,Gr,Gtotal_actual,Pr,Margin,Margin_omni_ref,G_total_required
72,5060.12007045519,-23,11.083469470516,110.356159910594,-12.5607613229267,120.423103645325,1.95566247798662,0.92463804222772,2.88030052021434,-97.5428031251105,-7.54280312511048,-10.4231036453248,13.4231036453248
73,5079.42966611131,-22.4166666666667,11.0740745468188,109.865369954767,-12.4754004841536,120.456186222745,1.9861264071539,0.925582126394459,2.91170853354836,-97.5444776891964,-7.54447768919644,-10.4561862227448,13.4561862227448
74,5098.2658971139,-21.8333333333333,11.0640205048434,109.381235170506,-12.3916207205074,120.488336842592,2.01555890501685,0.926481920909798,2.94204082592665,-97.5462960166651,-7.54629601666511,-10.4883368425918,13.4883368425918
75,5116.63270223945,-21.25,11.0532818623558,108.904003503885,-12.3094646602723,120.519572045309,2.04396237932226,0.927325658540791,2.97128803786305,-97.5482840074462,-7.54828400744616,-10.5195720453092,13.5195720453092
76,5134.53434630337,-20.6666666666667,11.0418336815447,108.43391976523,-12.2289667027857,120.54990846691,2.07135071624184,0.928114084344388,2.99946480058623,-97.5504436663234,-7.55044366632342,-10.5499084669096,13.5499084669096
77,5151.9754175277,-20.0833333333333,11.0296515658709,107.971225302172,-12.150152908114,120.579362843267,2.09773104972602,0.928848143602254,3.02657919332828,-97.5527836499388,-7.55278364993885,-10.5793628432671,13.5793628432671
78,5168.96082469098,-19.5,11.0167116583949,107.516157681836,-12.07304093059,120.607952014212,2.12310168903792,0.929529040499245,3.05263072953717,-97.5553212846751,-7.55532128467513,-10.6079520142123,13.6079520142123
79,5185.49579406152,-18.9166666666667,11.0029906415538,107.068950383283,-11.9976399959441,120.635692927423,2.14737517749696,0.930158518572833,3.07753369606979,-97.5581592313532,-7.55815923135323,-10.635692927423,13.635692927423
80,5201.58586611512,-18.3333333333333,10.9884657383597,106.629832501182,-11.9239509214362,120.662602642102,2.17063526525404,0.930753579497207,3.10138884475124,-97.5612137973506,-7.56121379735059,-10.6626026421018,13.6626026421018
81,5217.23689203868,-17.75,10.9731147149936,106.199028461642,-11.8519661780745,120.688698332432,2.19291515978932,0.931300325673183,3.12421548546251,-97.5644828469692,-7.56448284696921,-10.6886983324317,13.6886983324317
82,5232.45503002103,-17.1666666666667,10.9569158847679,105.776757750976,-11.7816699937198,120.713997290802,2.21422182147977,0.931800210070967,3.14602203155074,-97.5679752592514,-7.5679752592514,-10.7139972908021,13.7139972908021
83,5247.24674133275,-16.5833333333333,10.9398481134299,105.36323465808,-11.7130384956067,120.738516930795,2.23456646863368,0.932254760125601,3.16682122875928,-97.5716957020354,-7.57169570203544,-10.7385169307947,13.7385169307947
84,5261.61878619631,-16,10.9218908257811,104.958668030974,-11.64603989057,120.76227478992,2.25394699478053,0.932665559682993,3.18661255446352,-97.5756622354568,-7.57566223545683,-10.7622747899204,13.7622747899204
85,5275.5782194488,-15.4166666666667,10.9030240135829,104.563261047908,-11.580634681062,120.785288532097,2.27227847211212,0.933033794574061,3.20531226668618,-97.5799762654104,-7.57997626541035,-10.7852885320965,13.7852885320965
86,5289.13238599879,-14.8333333333333,10.883228244723,104.177211003315,-11.516775914861,120.807575949856,2.28967658233783,0.93336088870283,3.22303747104066,-97.584538478815,-7.58453847881498,-10.8075759498556,13.8075759498556
87,5302.2889160796,-14.25,10.8624846736108,103.80070910872,-11.4544094662315,120.829154966273,2.30613536559385,0.933660242409962,3.23979560800381,-97.5893593582689,-7.58935935826892,-10.8291549662727,13.8291549662727
88,5315.05572030106,-13.6666666666667,10.8407750527737,103.433940308624,-11.3934743461789,120.850043636603,2.32167326763342,0.933926726326946,3.25559999396036,-97.5944436426422,-7.59444364264218,-10.8500436366025,13.8500436366025
89,5327.4409845021,-13.0833333333333,10.8180817456222,103.077083111169,-11.333903039363,120.870260149614,2.33629960894301,0.934156869491988,3.270456478435,-97.599803671179,-7.59980367117896,-10.870260149614,13.870260149614
90,5339.4531644065,-12.5,10.7943877403498,102.730309433338,-11.2756218651826,120.889822828611,2.35001360046262,0.934351853343471,3.28436545380609,-97.6054573748052,-7.60545737480517,-10.8898228286113,13.8898228286113
91,5351.10098008439,-11.9166666666667,10.7696766649327,102.393784460226,-11.2185513605238,120.90875013213,2.36272813855874,0.934513839452346,3.29724197801109,-97.6115081541186,-7.6115081541186,-10.9087501321297,13.9087501321297
92,5362.39341022217,-11.3333333333333,10.7439328031936,102.067666517865,-11.1626066816734,120.927060654294,2.37455455605438,0.934643308605854,3.30919786466023,-97.6178627896339,-7.6178627896339,-10.9270606542941,13.9270606542941
93,5373.33968620346,-10.75,10.7171411118879,101.752106958938,-11.1076980229305,120.944773124829,2.38549424130558,0.934740624653961,3.32023486595954,-97.6245382588693,-7.62453825886928,-10.9447731248288,13.9447731248288
94,5383.9492860041,-10.1666666666667,10.6892872387714,101.447250060601,-11.0537310495084,120.961906408706,2.39555485419579,0.934808571527521,3.33036342572331,-97.6315429829823,-7.6315429829823,-10.9619064087056,13.9619064087056
95,5394.2319279042,-9.58333333333334,10.6603575416045,101.15323293357,-11.0006073423952,120.978479505419,2.40474230358095,0.934845892280118,3.33958819586107,-97.6388913095584,-7.63889130955839,-10.9784795054195,13.9784795054195
96,5404.1975640202,-9,10.6303391080451,100.870185441523,-10.9482248529383,120.994511547878,2.41307448802566,0.934870256988111,3.34794474501377,-97.6465668028645,-7.64656680286447,-10.9945115478782,13.9945115478782
97,5413.85637366034,-8.41666666666666,10.5992197763796,100.59823012981,-10.8964783650273,121.010021800895,2.42044697511757,0.934867373466091,3.35531434858366,-97.6547074523115,-7.6547074523115,-11.0100218008952,14.0100218008952
98,5423.21875650679,-7.83333333333333,10.5669881570362,100.337482162405,-10.8452599628719,121.025029659272,2.42696665023203,0.934837099119256,3.36180374935129,-97.6632259099205,-7.6632259099205,-11.0250296592718,14.0250296592718
99,5432.29532562805,-7.25,10.5336336548256,100.088049266006,-10.7944595025011,121.039554645459,2.43264772600949,0.934781138649481,3.36742886465897,-97.6721257808005,-7.67212578080049,-11.0395546454595,14.0395546454595
100,5441.09690032503,-6.66666666666666,10.4991464918444,99.8500316801342,-10.7439650852484,121.053616406788,2.43747973762899,0.934698621597752,3.37217835922674,-97.6814380475612,-7.68143804756123,-11.053616406788,14.053616406788
101,5449.63449881472,-6.08333333333333,10.4635177309784,99.6235221121116,-10.693663531621,121.06723471225,2.44142013395359,0.934591146461459,3.37601128041505,-97.6912234318345,-7.69122343183446,-11.0672347122495,14.0672347122495
102,5457.91933075525,-5.5,10.4267392999358,99.4086056957636,-10.6434408540954,121.080429448827,2.44452450991895,0.93445864936927,3.37898315928822,-97.701446289539,-7.70144628953896,-11.0804294488272,14.0804294488272
103,5465.96278961637,-4.91666666666666,10.3888040157364,99.2053599527282,-10.5931827275099,121.093220617357,2.44671604394256,0.93430082864941,3.38101687259197,-97.7122037447653,-7.71220374476526,-11.0932206173572,14.0932206173572
104,5473.77644489944,-4.33333333333334,10.3497056095809,99.0138547552816,-10.5427749558614,121.105628327915,2.44808330138399,0.934120122826585,3.38220342421057,-97.7234249037044,-7.72342490370441,-11.105628327915,14.105628327915
105,5481.3720342112,-3.75,10.3094387520165,98.8341522896186,-10.4921039344287,121.117672794714,2.44862826272181,0.933915732475428,3.38254399519724,-97.7351287995172,-7.73512879951716,-11.1176727947144,14.1176727947144
106,5488.76145519591,-3.16666666666666,10.2679990783158,98.6663070186069,-10.4410571062628,121.129374330513,2.44835573857173,0.933702796477508,3.38205853504924,-97.7473157954635,-7.74731579546355,-11.1293743305128,14.1293743305128
107,5495.95675733017,-2.58333333333334,10.2253832139764,98.5103656430717,-10.3895234121821,121.140753340512,2.44726943291715,0.933467699900298,3.38073713281744,-97.7600162076945,-7.76001620769451,-11.1407533405119,14.1407533405119
108,5502.97013358537,-2,10.1815888002478,98.3663670607516,-10.337393733501,121.151830315748,2.44537655868329,0.933207631455203,3.37858419013849,-97.7732461256099,-7.77324612560987,-11.1518303157484,14.1518303157484
109,5509.81391196246,-1.41666666666666,10.1366145195869,98.2343423221791,-10.2845613267914,121.162625825966,2.44259338985397,0.932925401238713,3.37551879109268,-97.7871070348731,-7.78710703487312,-11.1626258259658,14.1626258259658
110,5516.50054690431,-0.833333333333329,10.0904601209396,98.1143145827858,-10.2309222500408,121.173160511965,2.43899781718857,0.932621192035309,3.37161900922388,-97.8015415027408,-7.8015415027408,-11.1731605119647,14.1731605119647
111,5523.04261059059,-0.25,10.0431264447411,98.0062990506703,-10.1763757796106,121.183455077424,2.43459667168157,0.932295005804497,3.36689167748607,-97.8165633999376,-7.81656339993756,-11.1834550774236,14.1834550774236
112,5529.45278412077,0.333333333333329,9.99461544752431,97.91030292958,-10.1208248174256,121.19353028019,2.42938736088692,0.93194505567108,3.361332416558,-97.8321978636318,-7.83219786363181,-11.1935302801898,14.1935302801898
113,5535.7438485906,0.916666666666672,9.94493022602243,97.8263253567393,-10.0641762878421,121.203406923035,2.42329659089643,0.931573451536176,3.35487004243261,-97.8485368806028,-7.84853688060275,-11.2034069230354,14.2034069230354
114,5541.92867606791,1.5,9.89407504064692,97.7543573353103,-10.0063415236327,121.21310584388,2.4164048785492,0.931180472232146,3.34758535078135,-97.8655204930988,-7.86552049309876,-11.2131058438801,14.2131058438801
115,5548.02022047358,2.08333333333333,9.84205533822039,97.6943816613935,-9.9472366405091,121.22264790548,2.40862318549573,0.930784586356808,3.33940777185254,-97.8832401336273,-7.88324013362728,-11.2226479054798,14.2226479054798
116,5554.03150837372,2.66666666666667,9.7888777738399,97.6463728455767,-9.88678289956979,121.232053984583,2.40003771948538,0.930370637721615,3.330408357207,-97.9016456273762,-7.90164562737624,-11.2320539845832,14.2320539845832
117,5559.97562968937,3.25,9.73455023174421,97.610297029221,-9.82490705701017,121.241344960561,2.39065209791827,0.929936787331801,3.32058888525007,-97.9207560753105,-7.92075607531049,-11.2413449605606,14.2413449605606
118,5565.8657283301,3.83333333333333,9.67908184505582,97.5861118957529,-9.7615417003738,121.25054170351,2.38046015639827,0.929483462945379,3.30994361934365,-97.9405980841659,-7.94059808416587,-11.2505417035095,14.2505417035095
119,5571.71499275826,4.41666666666667,9.6224830142676,97.5737665773965,-9.69662557055077,121.259665061846,2.36945873523436,0.929011180475342,3.2984699157097,-97.9611951461359,-7.96119514613592,-11.2596650618456,14.2596650618456
120,5577.53664649054,5,9.5647654243417,97.5732015579232,-9.63010386864753,121.268735849386,2.35764429789897,0.928520548283341,3.28616484618231,-97.9825710032034,-7.98257100320339,-11.2687358493857,14.2687358493857
121,5583.34393854403,5.58333333333333,9.50594206028849,97.5843485720814,-9.56192854676683,121.277774831936,2.34494166533021,0.928012270737081,3.27295393606729,-98.0048208958683,-8.00482089586829,-11.2777748319356,14.2777748319356
122,5589.15013383381,6.16666666666667,9.44602722109241,97.6071305025597,-9.49205858163934,121.286802713395,2.33132929693868,0.927489852383607,3.25881914932229,-98.0279835640725,-8.02798356407246,-11.2868027133947,14.2868027133947
123,5594.96850352973,6.75,9.38503653185271,97.6414612754184,-9.42046022995568,121.295840121393,2.31689113540573,0.926973068429733,3.24386420383546,-98.0519759175572,-8.05197591755719,-11.2958401213926,14.2958401213926
124,5600.81231537957,7.33333333333333,9.32298695400749,97.6872457550673,-9.34710726415008,121.304907592474,2.30162961757066,0.926441746976165,3.22807136454683,-98.076836227927,-8.07683622792696,-11.3049075924738,14.3049075924738
125,5606.69482400684,7.91666666666667,9.25989679351183,97.7443796399931,-9.27198118729261,121.31402555685,2.28554266928006,0.925896920650677,3.21143958993074,-98.1025859669196,-8.10258596691961,-11.3140255568503,14.3140255568503
126,5612.62926119078,8.5,9.1957857068428,97.8127493605354,-9.19507142566189,121.323214322744,2.26862812201669,0.925339718104013,3.1939678401207,-98.1292464826231,-8.1292464826231,-11.3232143227438,14.3232143227438
